Y	exon2	exon3	exon4	exon5	exon6	exon7	exon8	exon9	sample2	sample3	sample4	sample5	sample6	exon2:cond1	exon3:cond1	exon4:cond1	exon5:cond1	exon6:cond1	exon7:cond1	exon8:cond1	exon9:cond1
2.43355220840193	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1.71985639355857	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2.71848174358235	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2.78565845195432	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3.1523068239231	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2.62179210722432	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2.30023162478407	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
-0.777158407886885	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
3.29664434759825	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2.91897725624727	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
2.20059085834678	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
3.18748910184694	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3.21556188554032	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
3.59262160550792	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
3.07815764915431	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
2.76466877943858	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
-0.346742596753283	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
2.89407986069489	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2.54204886283361	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
1.86486268068395	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
2.81562736026238	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
2.79346949233844	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
3.23462956672546	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
2.72487776102693	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
2.37636301946409	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
-0.569986926719592	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
2.81541500023978	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2.47990180841806	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1.77846979706714	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
2.7299161319586	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
2.67551967752337	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
3.13053494369972	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2.63902933629649	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
2.29742375663266	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
-0.633989158109923	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
